id,ext_path,geo
1401,"山西省 太原市","112.549248 37.857014"
140105,"山西省 太原市 小店区","112.564273 37.817974"
140106,"山西省 太原市 迎泽区","112.558851 37.855804"
140107,"山西省 太原市 杏花岭区","112.560743 37.879291"
140108,"山西省 太原市 尖草坪区","112.487122 37.939893"
140109,"山西省 太原市 万柏林区","112.522258 37.862653"
140110,"山西省 太原市 晋源区","112.477849 37.715619"
140121,"山西省 太原市 清徐县","112.357961 37.60729"
140122,"山西省 太原市 阳曲县","112.673818 38.058797"
140123,"山西省 太原市 娄烦县","111.793798 38.066035"
140171,"山西省 太原市 山西转型综合改革示范区","EMPTY"
140181,"山西省 太原市 古交市","112.174353 37.908534"
1402,"山西省 大同市","113.295259 40.09031"
140212,"山西省 大同市 新荣区","113.141044 40.258269"
140213,"山西省 大同市 平城区","113.298027 40.075667"
140214,"山西省 大同市 云冈区","113.149693 40.005405"
140215,"山西省 大同市 云州区","113.61244 40.040295"
140221,"山西省 大同市 阳高县","113.749871 40.364927"
140222,"山西省 大同市 天镇县","114.09112 40.421336"
140223,"山西省 大同市 广灵县","114.279252 39.763051"
140224,"山西省 大同市 灵丘县","114.23576 39.438867"
140225,"山西省 大同市 浑源县","113.698091 39.699099"
140226,"山西省 大同市 左云县","112.70641 40.012873"
140271,"山西省 大同市 山西大同经济开发区","EMPTY"
1403,"山西省 阳泉市","113.583285 37.861188"
140302,"山西省 阳泉市 城区","113.586513 37.860938"
140303,"山西省 阳泉市 矿区","113.559066 37.870085"
140311,"山西省 阳泉市 郊区","113.58664 37.94096"
140321,"山西省 阳泉市 平定县","113.631049 37.800289"
140322,"山西省 阳泉市 盂县","113.41223 38.086131"
1404,"山西省 长治市","113.113556 36.191112"
140403,"山西省 长治市 潞州区","113.114107 36.187896"
140404,"山西省 长治市 上党区","113.056679 36.052438"
140405,"山西省 长治市 屯留区","112.892741 36.314072"
140406,"山西省 长治市 潞城区","113.223245 36.332233"
140423,"山西省 长治市 襄垣县","113.050094 36.532854"
140425,"山西省 长治市 平顺县","113.438791 36.200202"
140426,"山西省 长治市 黎城县","113.387366 36.502971"
140427,"山西省 长治市 壶关县","113.206138 36.110938"
140428,"山西省 长治市 长子县","112.884656 36.119484"
140429,"山西省 长治市 武乡县","112.8653 36.834315"
140430,"山西省 长治市 沁县","112.70138 36.757123"
140431,"山西省 长治市 沁源县","112.340878 36.500777"
140471,"山西省 长治市 山西长治高新技术产业园区","EMPTY"
1405,"山西省 晋城市","112.851274 35.497553"
140502,"山西省 晋城市 城区","112.853106 35.496641"
140521,"山西省 晋城市 沁水县","112.187213 35.689472"
140522,"山西省 晋城市 阳城县","112.422014 35.482177"
140524,"山西省 晋城市 陵川县","113.278877 35.775614"
140525,"山西省 晋城市 泽州县","112.899137 35.617221"
140581,"山西省 晋城市 高平市","112.930691 35.791355"
1406,"山西省 朔州市","112.433387 39.331261"
140602,"山西省 朔州市 朔城区","112.428676 39.324525"
140603,"山西省 朔州市 平鲁区","112.295227 39.515603"
140621,"山西省 朔州市 山阴县","112.816396 39.52677"
140622,"山西省 朔州市 应县","113.187505 39.559187"
140623,"山西省 朔州市 右玉县","112.465588 39.988812"
140671,"山西省 朔州市 山西朔州经济开发区","EMPTY"
140681,"山西省 朔州市 怀仁市","113.100512 39.82079"
1407,"山西省 晋中市","112.736465 37.696495"
140702,"山西省 晋中市 榆次区","112.740056 37.6976"
140721,"山西省 晋中市 榆社县","112.973521 37.069019"
140722,"山西省 晋中市 左权县","113.377834 37.079672"
140723,"山西省 晋中市 和顺县","113.572919 37.327027"
140724,"山西省 晋中市 昔阳县","113.706166 37.60437"
140725,"山西省 晋中市 寿阳县","113.177708 37.891136"
140726,"山西省 晋中市 太谷县","112.554103 37.424595"
140727,"山西省 晋中市 祁县","112.330532 37.358739"
140728,"山西省 晋中市 平遥县","112.174059 37.195474"
140729,"山西省 晋中市 灵石县","111.772759 36.847469"
